_id,价格(万元),小区,市区,年份,户型,朝向,楼层,电梯,装修情况,详情页,面积(㎡)
61cb374ccb2ae02b512581bc,53,泰景小区,普兰店,1998/塔楼,3室2厅,南 北,4,无电梯,精装,https://dl.lianjia.com/ershoufang/102105194124.html,99.8
61cb37793ee571fca6aea33d,97.8,金海国际花园,金州,2016/板楼,3室1厅,南 北,12,有电梯,精装,https://dl.lianjia.com/ershoufang/102105124088.html,101.87
61cb377a3ee571fca6aea33e,105,中拥蓝天下,旅顺口,2013/板楼,3室2厅,南 北,15,有电梯,精装,https://dl.lianjia.com/ershoufang/102105161686.html,145.66
61cb377b3ee571fca6aea33f,106,银帆国际,开发区,2015/板楼,3室1厅,南 北,33,有电梯,毛坯,https://dl.lianjia.com/ershoufang/102105155409.html,93.45
61cb377c3ee571fca6aea340,137,大连海湾城一期,开发区,2012/板楼,3室2厅,南 北,34,有电梯,简装,https://dl.lianjia.com/ershoufang/102105138563.html,109.61
61cb377d3ee571fca6aea341,170,大连海湾城一期,开发区,2012/板楼,3室2厅,南 北,33,有电梯,精装,https://dl.lianjia.com/ershoufang/102105144736.html,133.04
61cb377e3ee571fca6aea342,164.5,新星绿城三期,甘井子,2006/板楼,3室2厅,南 北,6,无电梯,精装,https://dl.lianjia.com/ershoufang/102105139583.html,114.42
61cb377f3ee571fca6aea343,118,小野田,甘井子,1998/板楼,3室1厅,南 北,7,无电梯,简装,https://dl.lianjia.com/ershoufang/102105133229.html,83.62
61cb37803ee571fca6aea344,91.5,金色阳光家园,甘井子,2002/板楼,2室1厅,南 北,6,无电梯,简装,https://dl.lianjia.com/ershoufang/102105156324.html,66.96
61cb37813ee571fca6aea345,58.8,圣嘉美地,瓦房店,未知/板楼,3室2厅,南 北,5,有电梯,精装,https://dl.lianjia.com/ershoufang/102105178172.html,87.8
61cb37823ee571fca6aea346,117,友好路,中山,1990/板楼,2室1厅,南 西,6,无电梯,精装,https://dl.lianjia.com/ershoufang/102105190639.html,60
61cb37833ee571fca6aea347,92,华润考拉住区,甘井子,2015/板楼,1室1厅,西北,20,有电梯,精装,https://dl.lianjia.com/ershoufang/102105194732.html,51.73
61cb37833ee571fca6aea348,230,宏都熙景,甘井子,2016/板楼,3室2厅,南 北,6,有电梯,毛坯,https://dl.lianjia.com/ershoufang/102105175688.html,83.56
61cb37843ee571fca6aea349,103,万国宫馆一期,开发区,2009/板塔结合,2室1厅,南,30,有电梯,精装,https://dl.lianjia.com/ershoufang/102105172720.html,89.13
61cb37853ee571fca6aea34a,485,保利天禧,中山,2017/板楼,3室2厅,南 北,37,有电梯,精装,https://dl.lianjia.com/ershoufang/102105174204.html,173.81
61cb37863ee571fca6aea34b,119.7,泡崖美林园,甘井子,2003/板楼,2室2厅,南 北,7,无电梯,简装,https://dl.lianjia.com/ershoufang/102105160766.html,85.91
61cb37873ee571fca6aea34c,260,清华园(中山),中山,2003/板楼,3室2厅,南,19,有电梯,简装,https://dl.lianjia.com/ershoufang/102105192683.html,154.57
61cb37883ee571fca6aea34d,168,小平岛,高新园区,2008/板楼,2室1厅,西南 北,6,无电梯,精装,https://dl.lianjia.com/ershoufang/102105170806.html,82.4
61cb37893ee571fca6aea34e,119,大连海湾城一期,开发区,2012/板楼,2室1厅,南,33,有电梯,精装,https://dl.lianjia.com/ershoufang/102105177779.html,88.13
61cb378a3ee571fca6aea34f,55,港湾壹号,中山,2009/板楼,1室0厅,北,30,有电梯,精装,https://dl.lianjia.com/ershoufang/102105174585.html,46.59
61cb378b3ee571fca6aea350,74.5,山河御景,开发区,2015/板楼,2室1厅,南 北,18,有电梯,精装,https://dl.lianjia.com/ershoufang/102105171939.html,70.98
61cb378c3ee571fca6aea351,96,虹港路（机场商圈）,甘井子,1996/板楼,2室1厅,南 北 西,7,无电梯,简装,https://dl.lianjia.com/ershoufang/102105164422.html,66.21
61cb378d3ee571fca6aea352,35,和嘉佳园,金州,2009/塔楼,1室1厅,东,18,有电梯,简装,https://dl.lianjia.com/ershoufang/102105174842.html,49.25
61cb378e3ee571fca6aea353,3050,万达公馆1号,中山,2011/板楼,9室3厅,南 北,54,有电梯,精装,https://dl.lianjia.com/ershoufang/102102998850.html,1045.44
61cb37903ee571fca6aea354,118,锦泉源D2区,甘井子,2005/板楼,2室1厅,南 北,5,无电梯,精装,https://dl.lianjia.com/ershoufang/102105166146.html,70.26
61cb37903ee571fca6aea355,49,泡崖五区,甘井子,1999/板楼,1室1厅,南,6,无电梯,毛坯,https://dl.lianjia.com/ershoufang/102105166273.html,45.89
61cb37913ee571fca6aea356,62,华英巷,中山,1998/塔楼,2室1厅,南,7,无电梯,精装,https://dl.lianjia.com/ershoufang/102105180590.html,54.35
61cb37923ee571fca6aea357,169,亿达春田里,甘井子,2017/板楼,2室1厅,南 北,6,有电梯,毛坯,https://dl.lianjia.com/ershoufang/102105181474.html,88.04
61cb37933ee571fca6aea358,89,悦泰山里,金州,2009/板楼,3室2厅,南 北,18,有电梯,精装,https://dl.lianjia.com/ershoufang/102105167789.html,113.42
61cb37943ee571fca6aea359,39.5,古城甲区,金州,1997/板楼,1室1厅,南,6,无电梯,精装,https://dl.lianjia.com/ershoufang/102105169274.html,41
61cb37953ee571fca6aea35a,95,福佳新城一期,甘井子,2010/板楼,2室1厅,东南 南,26,有电梯,精装,https://dl.lianjia.com/ershoufang/102105184755.html,75.29
61cb37973ee571fca6aea35b,49,古城甲区,金州,1997/板楼,2室1厅,南 北,6,无电梯,精装,https://dl.lianjia.com/ershoufang/102105167260.html,54
61cb37973ee571fca6aea35c,58,泡崖一区,甘井子,1993/板楼,2室1厅,西,7,无电梯,简装,https://dl.lianjia.com/ershoufang/102105181247.html,47.55
61cb37983ee571fca6aea35d,54.9,钻石9座,开发区,2017/板塔结合,1室1厅,南 北,29,有电梯,精装,https://dl.lianjia.com/ershoufang/102105182205.html,48.96
61cb37993ee571fca6aea35e,85,恒盛阳光美麓,金州,2010/板楼,2室1厅,南 北,15,有电梯,精装,https://dl.lianjia.com/ershoufang/102105174861.html,85.7
61cb379a3ee571fca6aea35f,68.5,恒达花园,金州,2006/板楼,2室1厅,南 北,13,有电梯,精装,https://dl.lianjia.com/ershoufang/102105176816.html,74.78
61cb379b3ee571fca6aea360,60,侯二小区,沙河口,未知/板楼,2室0厅,南 西 北,7,无电梯,简装,https://dl.lianjia.com/ershoufang/102105186258.html,50.7
61cb379c3ee571fca6aea361,102.5,中南路,中山,1996/板楼,2室1厅,南,7,无电梯,精装,https://dl.lianjia.com/ershoufang/102105171120.html,73.15
61cb379d3ee571fca6aea362,240,青秀蓝湾二期,甘井子,2016/板楼,3室1厅,南 北,23,有电梯,精装,https://dl.lianjia.com/ershoufang/102105164834.html,92.66
61cb379e3ee571fca6aea363,147,中青街,中山,1996/板楼,2室2厅,南 北,7,无电梯,精装,https://dl.lianjia.com/ershoufang/102105171403.html,83.79
61cb379f3ee571fca6aea364,150,红星海时光的岸,开发区,2016/板楼,3室1厅,南 北,23,有电梯,精装,https://dl.lianjia.com/ershoufang/102105172245.html,118.92
61cb379f3ee571fca6aea365,285,龙湖星海彼岸,高新园区,2018/板楼,2室1厅,南 北,28,有电梯,精装,https://dl.lianjia.com/ershoufang/102105189184.html,88.16
61cb37a03ee571fca6aea366,205,新华绿洲,甘井子,2003/板楼,3室2厅,南 北,12,有电梯,精装,https://dl.lianjia.com/ershoufang/102105174627.html,113.54
61cb37a13ee571fca6aea367,83,金苑新居,开发区,2004/板楼,2室1厅,南,6,无电梯,简装,https://dl.lianjia.com/ershoufang/102105183184.html,75.82
61cb37a23ee571fca6aea368,115,西郊棠梨园,甘井子,2007/板楼,2室1厅,南 北,6,无电梯,精装,https://dl.lianjia.com/ershoufang/102105184955.html,80.65
61cb37a33ee571fca6aea369,150,碧浪园一期,中山,2000/板楼,2室1厅,南 北,6,无电梯,精装,https://dl.lianjia.com/ershoufang/102105185199.html,83.37
61cb37a43ee571fca6aea36a,169,碧海园,中山,2002/板楼,2室2厅,南 北,6,无电梯,简装,https://dl.lianjia.com/ershoufang/102105185457.html,90.09
61cb37a53ee571fca6aea36b,119.2,凌秀小区,高新园区,1993/板楼,3室1厅,南 北,6,无电梯,精装,https://dl.lianjia.com/ershoufang/102105179615.html,75.52
61cb37a63ee571fca6aea36c,297,胜鼎桃源,中山,2015/板楼,3室2厅,南 北,33,有电梯,精装,https://dl.lianjia.com/ershoufang/102105179083.html,111.82
61cb37a63ee571fca6aea36d,115,南昌平小区,沙河口,1993/板楼,3室1厅,南 北,7,无电梯,精装,https://dl.lianjia.com/ershoufang/102105187190.html,76.2
61cb37a73ee571fca6aea36e,186,颐和香榭,西岗,2008/板楼,1室1厅,南,18,有电梯,精装,https://dl.lianjia.com/ershoufang/102105186733.html,52.91
61cb37a83ee571fca6aea36f,36,郁林海景花园,旅顺口,未知/塔楼,2室1厅,东南,27,有电梯,精装,https://dl.lianjia.com/ershoufang/102105191919.html,70.42
61cb37a93ee571fca6aea370,152,龙畔金泉五期K4区,甘井子,2008/板楼,2室2厅,南 北,13,有电梯,精装,https://dl.lianjia.com/ershoufang/102105187523.html,102.71
61cb37aa3ee571fca6aea371,74.8,大连金石天成,金州,未知/板楼,2室1厅,南 北,8,有电梯,精装,https://dl.lianjia.com/ershoufang/102105186369.html,82.84
61cb37ab3ee571fca6aea372,38,民馨小区,金州,未知/板塔结合,1室1厅,南,7,有电梯,简装,https://dl.lianjia.com/ershoufang/102105185938.html,45.83
61cb37ac3ee571fca6aea373,89.8,金马圣隆,甘井子,2006/板楼,2室1厅,南,5,无电梯,简装,https://dl.lianjia.com/ershoufang/102105192168.html,52.34
61cb37ad3ee571fca6aea374,69.8,泽林苑,开发区,2015/板楼,1室1厅,南,21,有电梯,精装,https://dl.lianjia.com/ershoufang/102105188964.html,54.59
61cb37ad3ee571fca6aea375,162,中海御湖熙谷,甘井子,2015/板楼,3室2厅,南 北,27,有电梯,精装,https://dl.lianjia.com/ershoufang/102105184672.html,113.05
61cb37ae3ee571fca6aea376,76,新居佳园,沙河口,2012/板楼,2室1厅,南,22,有电梯,精装,https://dl.lianjia.com/ershoufang/102105196486.html,49.66
61cb37af3ee571fca6aea377,198,万科溪之谷2.2期,甘井子,2007/板楼,2室1厅,东 南 北,5,无电梯,精装,https://dl.lianjia.com/ershoufang/102105184764.html,93.47
61cb37b03ee571fca6aea378,87,泡崖美林园,甘井子,2003/板楼,2室1厅,南 北,7,无电梯,精装,https://dl.lianjia.com/ershoufang/102105196534.html,66.87
61cb37b23ee571fca6aea379,132,万科魅力之城,甘井子,2012/板楼,2室1厅,南,18,有电梯,精装,https://dl.lianjia.com/ershoufang/102105182776.html,75.44
61cb37b23ee571fca6aea37a,58,泡崖六区,甘井子,2000/板楼,1室1厅,南,6,无电梯,精装,https://dl.lianjia.com/ershoufang/102105190087.html,42.43
61cb37b33ee571fca6aea37b,185,香周首府,西岗,2016/板楼,3室2厅,南 北,24,有电梯,精装,https://dl.lianjia.com/ershoufang/102105186865.html,96.68
61cb37b43ee571fca6aea37c,160,泉水人家幸福里,甘井子,2009/板楼,2室1厅,南 北,11,有电梯,精装,https://dl.lianjia.com/ershoufang/102105174259.html,86.62
61cb37b63ee571fca6aea37d,159.5,亿锋广场三期,开发区,2015/板楼,3室1厅,南 北,32,有电梯,精装,https://dl.lianjia.com/ershoufang/102105194961.html,89.9
61cb37b73ee571fca6aea37e,79,劳动局小区,金州,未知/板楼,2室1厅,南 北,6,无电梯,简装,https://dl.lianjia.com/ershoufang/102105182701.html,79
61cb37b73ee571fca6aea37f,530,华润海中国七期,开发区,2018/板楼,6室2厅,南 北,6,有电梯,精装,https://dl.lianjia.com/ershoufang/102104902635.html,140.62
61cb37b83ee571fca6aea380,238,健龙苑,沙河口,2000/板楼,3室2厅,南 北,6,无电梯,精装,https://dl.lianjia.com/ershoufang/102104427079.html,126.96
61cb37b93ee571fca6aea381,398,金地檀境,甘井子,2016/板楼,5室2厅,南 北,7,有电梯,精装,https://dl.lianjia.com/ershoufang/102105124286.html,168.69
61cb37ba3ee571fca6aea382,93.8,海天富地,金州,未知/板楼,3室2厅,南 北,18,有电梯,精装,https://dl.lianjia.com/ershoufang/102103798341.html,87.14
61cb37bb3ee571fca6aea383,128,远洋假日养生庄园,金州,未知/板楼,4室2厅,南 北,4,无电梯,精装,https://dl.lianjia.com/ershoufang/102104577972.html,100.36
61cb37bc3ee571fca6aea384,169,岭秀滨城悦和中园,甘井子,2010/板楼,4室2厅,南 北,5,无电梯,精装,https://dl.lianjia.com/ershoufang/102104667184.html,109.13
61cb37bd3ee571fca6aea385,197.5,名贵山庄华夏园,甘井子,2004/板楼,3室1厅,南 北,6,无电梯,精装,https://dl.lianjia.com/ershoufang/102105157229.html,134.32
61cb37bd3ee571fca6aea386,317,宏都筑景Ⅰ期,沙河口,2008/板楼,4室2厅,南 北,24,有电梯,精装,https://dl.lianjia.com/ershoufang/102105140051.html,148.94
61cb37be3ee571fca6aea387,348,华乐环海花园,中山,2004/板楼,3室1厅,南 北,7,有电梯,精装,https://dl.lianjia.com/ershoufang/102105139828.html,138.3
61cb37bf3ee571fca6aea388,235,大有恬园二期,高新园区,2010/板楼,3室1厅,南 北,18,有电梯,精装,https://dl.lianjia.com/ershoufang/102105152410.html,104.67
61cb37c03ee571fca6aea389,209,丽景春天,沙河口,2003/板楼,3室1厅,南 北,6,无电梯,简装,https://dl.lianjia.com/ershoufang/102105155891.html,113.85
61cb37c13ee571fca6aea38a,239,新春小区,西岗,1997/板楼,4室2厅,南 北,7,无电梯,精装,https://dl.lianjia.com/ershoufang/102105126698.html,127.15
61cb37c23ee571fca6aea38b,130,泡崖康顺园,甘井子,2007/板楼,2室1厅,南 北,7,有电梯,精装,https://dl.lianjia.com/ershoufang/102105155559.html,100.51
61cb37c33ee571fca6aea38c,65,达人公馆,甘井子,2007/板楼,2室1厅,东北,13,有电梯,简装,https://dl.lianjia.com/ershoufang/102105133998.html,57.42
61cb37c43ee571fca6aea38d,30,新青年金洋合院（金洋小区）,金州,2000/板楼,1室1厅,南,7,无电梯,简装,https://dl.lianjia.com/ershoufang/102105125659.html,43.2
61cb37c53ee571fca6aea38e,58,乾豪新界,开发区,2015/板楼,2室1厅,南,32,有电梯,精装,https://dl.lianjia.com/ershoufang/102105127424.html,53.79
61cb37c63ee571fca6aea38f,84,海航YOHO湾,开发区,2014/板楼,2室2厅,南 北,33,有电梯,简装,https://dl.lianjia.com/ershoufang/102105156755.html,81
61cb37c73ee571fca6aea390,63.8,香炉礁,西岗,1994/板楼,2室1厅,南 北,7,无电梯,简装,https://dl.lianjia.com/ershoufang/102105159349.html,43.64
61cb37c83ee571fca6aea391,44.3,金润小区B区,金州,2010/板楼,2室1厅,南 北,7,无电梯,精装,https://dl.lianjia.com/ershoufang/102105162534.html,50.1
61cb37c93ee571fca6aea392,49.5,台山,沙河口,1995/板楼,2室1厅,西南,6,无电梯,精装,https://dl.lianjia.com/ershoufang/102105143998.html,39.92
61cb37ca3ee571fca6aea393,30,华发新城,旅顺口,2013/板楼,1室1厅,南 西,28,有电梯,精装,https://dl.lianjia.com/ershoufang/102105147759.html,51.61
61cb37cb3ee571fca6aea394,65.5,马栏北街（甘井子区）,甘井子,1994/板楼,2室1厅,南 北,6,无电梯,简装,https://dl.lianjia.com/ershoufang/102105136773.html,54.6
61cb37cc3ee571fca6aea395,44.5,名品公寓,开发区,2010/塔楼,2室1厅,东南,18,有电梯,精装,https://dl.lianjia.com/ershoufang/102105139383.html,67.34
61cb37cd3ee571fca6aea396,121,海景园,中山,1999/板楼,2室1厅,南 北,7,无电梯,精装,https://dl.lianjia.com/ershoufang/102105158271.html,71.7
61cb37ce3ee571fca6aea397,139,文萃轩小区,高新园区,1990/板楼,3室1厅,南 西 北,6,无电梯,精装,https://dl.lianjia.com/ershoufang/102105135509.html,66.22
61cb37cf3ee571fca6aea398,79.8,锦泉源B1区,甘井子,2001/板楼,1室1厅,南,6,无电梯,精装,https://dl.lianjia.com/ershoufang/102105142293.html,51.63
61cb37d03ee571fca6aea399,113,红星海五期青屿蓝,开发区,2012/板楼,2室1厅,南,24,有电梯,精装,https://dl.lianjia.com/ershoufang/102105159919.html,89.95
61cb37d13ee571fca6aea39a,99.5,金山名苑,金州,未知/板楼,2室1厅,南 北,5,无电梯,精装,https://dl.lianjia.com/ershoufang/102105155474.html,95.3
61cb37d23ee571fca6aea39b,54.8,尚海湾,普兰店,2012/塔楼,2室1厅,南 北,7,有电梯,精装,https://dl.lianjia.com/ershoufang/102105160408.html,78.87
61cb37d33ee571fca6aea39c,175,碧海园,中山,2002/板楼,2室2厅,南 北,5,无电梯,简装,https://dl.lianjia.com/ershoufang/102105139865.html,89.51
61cb37d33ee571fca6aea39d,238,华邦上都,沙河口,2006/板楼,2室2厅,南 北,23,有电梯,简装,https://dl.lianjia.com/ershoufang/102105129080.html,113.2
61cb37d43ee571fca6aea39e,112,永乐金庭,金州,2006/板楼,2室2厅,南 北,5,有电梯,简装,https://dl.lianjia.com/ershoufang/102105165731.html,88.88
61cb37d53ee571fca6aea39f,78,糖果小区,金州,2011/板楼,2室1厅,南 北,6,无电梯,精装,https://dl.lianjia.com/ershoufang/102105128351.html,68.92
61cb37d63ee571fca6aea3a0,62.5,泡崖新六区,甘井子,2002/板楼,2室1厅,南 北,6,无电梯,简装,https://dl.lianjia.com/ershoufang/102105165956.html,60.24
61cb37d73ee571fca6aea3a1,169.8,胜鼎桃源,中山,2015/板楼,2室1厅,南,24,有电梯,简装,https://dl.lianjia.com/ershoufang/102105129893.html,75.1
61cb37d83ee571fca6aea3a2,139.8,锦城园C区,沙河口,2006/板楼,2室2厅,东 南 北,7,无电梯,精装,https://dl.lianjia.com/ershoufang/102105156700.html,87.91
61cb37d93ee571fca6aea3a3,77,一河两公园,开发区,2016/板楼,2室1厅,南 西 北,34,有电梯,精装,https://dl.lianjia.com/ershoufang/102105145385.html,68.61
61cb37da3ee571fca6aea3a4,138,依云溪谷,甘井子,2017/板楼,2室2厅,南 北,11,有电梯,精装,https://dl.lianjia.com/ershoufang/102105137857.html,89.71
61cb37db3ee571fca6aea3a5,93.8,新希望乐城,金州,2015/板楼,2室1厅,南 北,32,有电梯,精装,https://dl.lianjia.com/ershoufang/102105163666.html,89.49
61cb37dc3ee571fca6aea3a6,133.7,锦泉源B6区,甘井子,2012/板楼,2室2厅,南 北,9,有电梯,简装,https://dl.lianjia.com/ershoufang/102105150742.html,76.6
61cb37dd3ee571fca6aea3a7,94,保利金香槟,金州,2018/板楼,2室1厅,南 北,32,有电梯,精装,https://dl.lianjia.com/ershoufang/102105163088.html,83.65
61cb37dd3ee571fca6aea3a8,55.5,阳光家园,金州,2009/板楼,2室1厅,南,24,有电梯,精装,https://dl.lianjia.com/ershoufang/102105162649.html,64.34
61cb37de3ee571fca6aea3a9,71.5,港湾壹号,中山,2010/塔楼,1室1厅,东,30,有电梯,精装,https://dl.lianjia.com/ershoufang/102105149494.html,47.11
61cb37df3ee571fca6aea3aa,67.5,泉水P2区,甘井子,2013/板塔结合,2室1厅,南,34,有电梯,精装,https://dl.lianjia.com/ershoufang/102105142552.html,50.62
61cb37e03ee571fca6aea3ab,249,春柳公园,沙河口,2016/板楼,3室2厅,南 北,18,有电梯,毛坯,https://dl.lianjia.com/ershoufang/102105156517.html,104.7
61cb37e13ee571fca6aea3ac,109.8,龙畔金泉二期,甘井子,2004/板楼,2室1厅,南 北,6,无电梯,精装,https://dl.lianjia.com/ershoufang/102105134502.html,74.97
61cb37e23ee571fca6aea3ad,137,万科溪之谷2.1期,甘井子,2008/板楼,2室1厅,南 北,5,无电梯,精装,https://dl.lianjia.com/ershoufang/102105134991.html,90.3
61cb37e33ee571fca6aea3ae,128,华宇梧桐苑,开发区,2013/板楼,2室2厅,南 北,31,有电梯,精装,https://dl.lianjia.com/ershoufang/102105161867.html,88.26
61cb37e43ee571fca6aea3af,40,恒达花园,金州,2006/板楼,2室1厅,南,13,有电梯,精装,https://dl.lianjia.com/ershoufang/102105150756.html,44.49
61cb37e43ee571fca6aea3b0,141,万科溪之谷三期,甘井子,2012/板楼,3室1厅,南,27,有电梯,精装,https://dl.lianjia.com/ershoufang/102105130373.html,106.48
61cb37e53ee571fca6aea3b1,77.5,山东路,甘井子,1994/板楼,2室1厅,南 北,7,无电梯,精装,https://dl.lianjia.com/ershoufang/102105143329.html,54.69
61cb37e63ee571fca6aea3b2,38.5,部居逸阁,中山,2005/板楼,1室1厅,东 南,9,有电梯,简装,https://dl.lianjia.com/ershoufang/102105171394.html,30.55
61cb389041410251f51d984b,55,倚山里小区,开发区,1996/板楼,2室1厅,南,8,无电梯,精装,https://dl.lianjia.com/ershoufang/102105175679.html,74.24
61cb389041410251f51d984c,93,39中望海街,中山,1995/板楼,1室1厅,南,5,无电梯,简装,https://dl.lianjia.com/ershoufang/102105174953.html,34.28
61cb389141410251f51d984d,45,于屯小区,瓦房店,未知/板楼,2室1厅,南 北,6,无电梯,毛坯,https://dl.lianjia.com/ershoufang/102105171865.html,61.56
61cb389241410251f51d984e,56.8,荷塘悦色,旅顺口,2010/塔楼,1室1厅,南,22,有电梯,简装,https://dl.lianjia.com/ershoufang/102105180002.html,52.28
61cb389341410251f51d984f,59.8,倚山里小区,开发区,1999/板楼,2室1厅,南 北,6,无电梯,精装,https://dl.lianjia.com/ershoufang/102105179644.html,76.05
61cb389441410251f51d9850,84,MINI印象,高新园区,2012/板塔结合,1室0厅,南,32,有电梯,精装,https://dl.lianjia.com/ershoufang/102105180115.html,50.8
61cb389541410251f51d9851,44,古城乙区,金州,1992/板楼,2室1厅,南,5,无电梯,其他,https://dl.lianjia.com/ershoufang/102105164606.html,46.5
61cb389641410251f51d9852,52,文景清华园,普兰店,未知/塔楼,2室1厅,南 北,18,无电梯,其他,https://dl.lianjia.com/ershoufang/102105179890.html,89.98
61cb38a0675fbf3bb87b5588,199.8,缇香漫城,甘井子,2013/板楼,2室1厅,南 北,12,有电梯,精装,https://dl.lianjia.com/ershoufang/102105154193.html,86.58
61cb38a1675fbf3bb87b5589,133,甘井子区红旗东路,甘井子,2000/板楼,2室2厅,南 北,6,无电梯,精装,https://dl.lianjia.com/ershoufang/102105133334.html,77.15
61cb38a2675fbf3bb87b558a,580,招商臻园,中山,2016/板楼,3室2厅,南 北,35,有电梯,精装,https://dl.lianjia.com/ershoufang/102105161850.html,193.75
61cb38a3675fbf3bb87b558b,218,观山满庭芳,沙河口,2008/板楼,4室3厅,南 北,5,无电梯,精装,https://dl.lianjia.com/ershoufang/102101576562.html,88.83
61cb38a4675fbf3bb87b558c,227,春柳公园,沙河口,2016/板楼,3室2厅,南 北,18,有电梯,毛坯,https://dl.lianjia.com/ershoufang/102101787434.html,105
61cb38a5675fbf3bb87b558d,103,春华山小区,中山,1997/板楼,2室2厅,南 北,7,无电梯,精装,https://dl.lianjia.com/ershoufang/102105182809.html,73.69
61cb38a6675fbf3bb87b558e,209,中海华庭,高新园区,2010/板塔结合,2室1厅,南 西,24,有电梯,简装,https://dl.lianjia.com/ershoufang/102105187608.html,88.99
61cb38a6675fbf3bb87b558f,93,红旗西路,甘井子,1997/板楼,2室1厅,南 北,7,无电梯,精装,https://dl.lianjia.com/ershoufang/102105183844.html,62.76
61cb38a7675fbf3bb87b5590,342,良运缤纷四季,沙河口,2006/板楼,3室2厅,南 北,18,有电梯,精装,https://dl.lianjia.com/ershoufang/102105170515.html,127.62
61cb38a8675fbf3bb87b5591,68,休斯顿公寓,中山,2004/板塔结合,1室0厅,南,31,有电梯,精装,https://dl.lianjia.com/ershoufang/102105186672.html,49.66
61cb38a9675fbf3bb87b5592,132,解放街,中山,1982/板楼,2室1厅,南 西 北,6,无电梯,精装,https://dl.lianjia.com/ershoufang/102105194804.html,47.68
61cb38aa675fbf3bb87b5593,73,康庄街,西岗,1991/板楼,2室1厅,南 北,6,无电梯,精装,https://dl.lianjia.com/ershoufang/102105170179.html,65.72
61cb38ab675fbf3bb87b5594,88,39中望海街,中山,1995/板楼,1室1厅,西,5,无电梯,简装,https://dl.lianjia.com/ershoufang/102105183584.html,36.19
61cb38ab675fbf3bb87b5595,79,侯一小区,沙河口,1993/板楼,3室1厅,南 北,7,无电梯,简装,https://dl.lianjia.com/ershoufang/102105181643.html,82.23
61cb38ac675fbf3bb87b5596,280,红星海郡墅二号,开发区,2012/板楼,3室2厅,南 北,5,有电梯,精装,https://dl.lianjia.com/ershoufang/102105180478.html,139.9
61cb38ad675fbf3bb87b5597,38,岗林里,开发区,1998/板楼,2室1厅,南 北,7,无电梯,精装,https://dl.lianjia.com/ershoufang/102105189604.html,61.8
61cb38ae675fbf3bb87b5598,155,泊岭紫郡,甘井子,2010/板楼,2室1厅,南 北,9,有电梯,精装,https://dl.lianjia.com/ershoufang/102105185262.html,96.83
61cb38af675fbf3bb87b5599,98.8,西苑小区,沙河口,1997/板楼,2室2厅,南 北,7,无电梯,精装,https://dl.lianjia.com/ershoufang/102105190275.html,86.05
61cb38b0675fbf3bb87b559a,45,侯二小区,沙河口,1992/板楼,1室1厅,南,7,无电梯,简装,https://dl.lianjia.com/ershoufang/102105187870.html,33.78
61cb38b1675fbf3bb87b559b,285,东方圣克拉三期,高新园区,2015/板楼,2室1厅,南 北,32,有电梯,精装,https://dl.lianjia.com/ershoufang/102105186786.html,86.83
61cb38b2675fbf3bb87b559c,133,红星海五期岚谷,开发区,2012/板楼,2室2厅,南 北,11,有电梯,精装,https://dl.lianjia.com/ershoufang/102105179178.html,87.65
61cb38b3675fbf3bb87b559d,285,月恒花园,中山,2001/板楼,2室1厅,南 北,5,无电梯,精装,https://dl.lianjia.com/ershoufang/102105184852.html,82.21
